"etsy_listing_id","mensskull_internal_product_id","sku","mapping_status","duplicate_sku_conflicts"
"4305687814","cmraakk6p02r0y4w1astsgyhr","SJ238","DUPLICATE_SKU_CONFLICT","SJ238"
"4307018590","cmraakcwe02hiy4w1hzwra4bd","SP89","MATCHED","UNKNOWN"
"4309463444","cmrad1bgb02uwy4yd0p2h224a","CBS01","MATCHED","UNKNOWN"
"4311735900","cmraajghy01diy4w1pl2pzo2f","CBS02","MATCHED","UNKNOWN"
"4311760608","cmraajwp401xay4w1zjo10dn3","EH03","DUPLICATE_SKU_CONFLICT","EH03"
"4311916489","cmraajv2r01vpy4w1xn7g0fgv","SB201","MATCHED","UNKNOWN"
"4321899485","cmraaium900mly4w1j05jog0u","SSB90","DUPLICATE_SKU_CONFLICT","SSB90"
"4323472729","cmraaepdg003wy4fx7odh9jpq","CBS03","MATCHED","UNKNOWN"
"4325777965","cmraaimjl00cby4w1waen9gb5","SB130","DUPLICATE_SKU_CONFLICT","SB130"
"4326417911","cmrad2yli04w1y4ydylav7cko","CBS04","MATCHED","UNKNOWN"
"4327672372","cmraaeote002zy4fxfocq6poc","SJ336","MATCHED","UNKNOWN"
"4330006796","cmraaenpf0002y4fx4n6cwl37","SK02","MATCHED","UNKNOWN"
"4333603775","cmrad3q5c05ury4ydp4kit53z","EH03","DUPLICATE_SKU_CONFLICT","EH03"
"4334236359","cmrad3laa05ody4ydf56tb6sh","SK03","MATCHED","UNKNOWN"
"4335043731","cmrad3i1g05k2y4ydtwgxpsje","BRC25","MATCHED","UNKNOWN"
"4340029964","cmrad38bo0576y4yd54r9dtdk","CBS05","MATCHED","UNKNOWN"
"4346330555","cmraaji3s01ffy4w1evy4lucv","SP301","MATCHED","UNKNOWN"
"4348359625","cmraajrtv01ray4w10mwfr071","SJ07","DUPLICATE_SKU_CONFLICT","SJ07"
"4348899562","cmrad2bwp044ey4yd4rvzdjep","SJ338","MATCHED","UNKNOWN"
"4353625995","cmrad20kb03q2y4ydbdad1jfr","SP238","MATCHED","UNKNOWN"
"4354576700","cmrad1y5303myy4ydtudoooov","SJ339","MATCHED","UNKNOWN"
"4354618171","cmraaj6rm011dy4w16elguxd2","SP239","DUPLICATE_SKU_CONFLICT","SP239"
"4359788502","cmraakjdp02pxy4w1hr44nb83","SP240","MATCHED","UNKNOWN"
"4362328084","cmraaetyw00fsy4fxi64xdmbg","SP239","DUPLICATE_SKU_CONFLICT","SP239"
"4364083038","cmrad1dvx02xxy4yd1b072ykl","SP241","DUPLICATE_SKU_CONFLICT","SP241"
"4365584443","cmrad1gba030zy4yd3h2nqtw6","SSB129","DUPLICATE_SKU_CONFLICT","SSB129"
"4366208292","cmrad1eov02z2y4ydoqql0cpq","SB130","DUPLICATE_SKU_CONFLICT","SB130"
"4367358606","cmrad1ank02tuy4ydz54vshhz","SP233","MATCHED","UNKNOWN"
"4367383703","cmrad1d2u02wxy4ydfcv6eq5t","SSB130","MATCHED","UNKNOWN"
"4367385488","cmrad19ua02syy4yd56wr4x5x","SSB131","MATCHED","UNKNOWN"
"4368610357","cmrad1c9k02vyy4yd03pn0q6k","SJ104-2","MATCHED","UNKNOWN"
"4375695925","cmraak5m0028ay4w1k20sst58","SJ232","DUPLICATE_SKU_CONFLICT","SJ232"
"4378741277","cmrad1uw703j6y4ydmhe61rt5","SB131","DUPLICATE_SKU_CONFLICT","SB131"
"4380305513","cmraajjqs01hgy4w1emwucc70","SB131","DUPLICATE_SKU_CONFLICT","SB131"
"4380307850","cmraajix801ggy4w1ia2mp9rt","FCM04","MATCHED","UNKNOWN"
"4386656752","cmraakagu02eey4w12qpbfj9a","SJ07","DUPLICATE_SKU_CONFLICT","SJ07"
"4387228641","cmraaeq5w005ty4fx5o6mpeam","SS01","DUPLICATE_SKU_CONFLICT","SS01"
"4387570273","cmraajpep01oey4w1dn33gdy9","SS01","DUPLICATE_SKU_CONFLICT","SS01"
"4389137279","cmraaivfb00ngy4w1ryzjf7ye","SJ255","DUPLICATE_SKU_CONFLICT","SJ255"
"4391704918","cmraaio4u00e8y4w1e7fvp8cr","SP145","MATCHED","UNKNOWN"
"4396766200","cmraaif88002zy4w19ngqhpqe","SP78","MATCHED","UNKNOWN"
"4403514501","cmrad3oj105sqy4ydr7yymdcn","SP241","DUPLICATE_SKU_CONFLICT","SP241"
"4404020367","cmrad3m3805pfy4ydzvuwciym","SP205","MATCHED","UNKNOWN"
"4405716074","cmrad3gfs05hoy4ydii7o6kh6","SP196","MATCHED","UNKNOWN"
"4416102602","cmrad310u04yvy4ydh1tulm6f","SP197","MATCHED","UNKNOWN"
"4419395050","cmrad2wzb04tyy4ydecxpclo9","SN58","MATCHED","UNKNOWN"
"4431374140","cmraak1k0023ny4w16eclh6sa","SN41","MATCHED","UNKNOWN"
"4431961200","cmrad1t9x03h6y4yda7peeb0p","SN66","MATCHED","UNKNOWN"
"4432511462","cmraailp100bay4w1tu636u8i","SSG02","MATCHED","UNKNOWN"
"4433881138","cmrad1q1a03dfy4ydtyssecq4","SSB129","DUPLICATE_SKU_CONFLICT","SSB129"
"4434426954","cmraaerwp00apy4fxs0yjq4r3","SP189-2","DUPLICATE_SKU_CONFLICT","SP189-2"
"4434436601","cmraaeroi009dy4fxf87gyuld","SP218-2","MATCHED","UNKNOWN"
"4434892147","cmrad1oex03bjy4ydb4dg3uuv","SP240-2","MATCHED","UNKNOWN"
"4436347896","cmrad1jjz034ty4ydqe9o273o","SB43-2","MATCHED","UNKNOWN"
"4436916214","cmrad1hxs032py4ydcx0jw4tc","SJ32-2","MATCHED","UNKNOWN"
"4438228086","cmrad1fi602zyy4yd7odupjoo","SN66-2","MATCHED","UNKNOWN"
"4439637452","cmraak4ss027ay4w1bvr1faui","SJ104","MATCHED","UNKNOWN"
"4440237803","cmraakl0102rvy4w1lcxgf80t","SB139","MATCHED","UNKNOWN"
"4443027103","cmraakhre02nvy4w1pe6bcg0p","SB80","DUPLICATE_SKU_CONFLICT","SB80"
"4443125005","cmraaevil00jty4fxp9itmsqn","SB140","MATCHED","UNKNOWN"
"4446350100","cmrad1kdi035yy4ydxy8lsouo","SP218-3","DUPLICATE_SKU_CONFLICT","SP218-3"
"4448567858","cmraaeu6c00gty4fx41n8odi9","SN66-3","MATCHED","UNKNOWN"
"4449012621","cmrad3mwh05qiy4ydo8xn7zl3","SP218-3","DUPLICATE_SKU_CONFLICT","SP218-3"
"4449591279","cmraajxi701yby4w15h1kk3ua","FCM05","MATCHED","UNKNOWN"
"4451790645","cmraaesg000bsy4fxqanmd5q5","SJ274-2","MATCHED","UNKNOWN"
"4453447675","cmraaje2h019yy4w12z0uwcz7","ACS09","MATCHED","UNKNOWN"
"4465182574","cmraaig1c0048y4w11o961wp1","SP95","MATCHED","UNKNOWN"
"4471142007","cmrad3rrj05wyy4ydonp6ucmz","BRC26","MATCHED","UNKNOWN"
"4471175209","cmrad3qyi05vty4ydt6hqb4xn","SJ295-2","MATCHED","UNKNOWN"
"4471697707","cmrad3npk05rmy4ydopjc4hdv","SP189-3","DUPLICATE_SKU_CONFLICT","SP189-3"
"4471845357","cmrad3khd05n9y4ydvbojvdny","SP189-3","DUPLICATE_SKU_CONFLICT","SP189-3"
"4472140624","cmrad3jny05mey4ydr5gb1x29","SJ232-2","MATCHED","UNKNOWN"
"4472597728","cmraaet6y00dsy4fxp04jpv5w","SJ141-2","MATCHED","UNKNOWN"
"4472600716","cmrad3iv605l3y4ydn1a9ii28","SJ321-2","MATCHED","UNKNOWN"
"4472782197","cmrad3h8805isy4ydzgczkqes","SP189-2","DUPLICATE_SKU_CONFLICT","SP189-2"
"4473150566","cmrad3fm605gpy4ydsjm2ysdb","SP154","MATCHED","UNKNOWN"
"4473194563","cmrad3esz05fhy4yd88k14jsa","SJ191","MATCHED","UNKNOWN"
"4474342715","cmrad3dzs05ecy4ydqmx8e862","SP185","MATCHED","UNKNOWN"
"4475437300","cmrad3cdh05c8y4yd1y61r8r4","SP242","MATCHED","UNKNOWN"
"4477343810","cmrad39500588y4yd28172ajc","SJ342","MATCHED","UNKNOWN"
"4479018663","cmraaixug00q9y4w1fkgy50i9","SJ343","MATCHED","UNKNOWN"
"4481346085","cmrad33gr051iy4ydrlnq08ej","SJ344","DUPLICATE_SKU_CONFLICT","SJ344"
"4487285495","cmrad2b3l0437y4yd93dpbntp","SJ344","DUPLICATE_SKU_CONFLICT","SJ344"
"4488272024","cmrad29hg0411y4ydnhz1xudy","SP243","MATCHED","UNKNOWN"
"4488478432","cmrad271z03y1y4ydj8ov1tfu","FCM06","MATCHED","UNKNOWN"
"4490216363","cmrad24mc03v4y4ydprhg8q3j","SJ280","MATCHED","UNKNOWN"
"4490666743","cmrad23tc03u5y4ydx8c7ayay","SJ42","MATCHED","UNKNOWN"
"4491402807","cmraakfc102kqy4w1uyit6nws","SJ05-2","MATCHED","UNKNOWN"
"4492793927","cmraaesqc00cqy4fxcedkin3u","SJ344","DUPLICATE_SKU_CONFLICT","SJ344"
"4493860774","cmrad1wik03kzy4ydjriflfrl","SJ345","DUPLICATE_SKU_CONFLICT","SJ345"
"4497064699","cmraak36f025ey4w12920n0v8","SJ345","DUPLICATE_SKU_CONFLICT","SJ345"
"4510039254","cmraaeuqn00hsy4fxotrbsi3q","SJ346","MATCHED","UNKNOWN"
"4513547844","cmraajz4r020ny4w1z28m8leg","SJ349","MATCHED","UNKNOWN"
"4515032622","cmraajq7n01pey4w123o2rbzt","SJ351","MATCHED","UNKNOWN"
"4516749377","cmraajkj901ify4w1ssepi6ev","SSG03","MATCHED","UNKNOWN"
"4517260479","cmraaitt600lny4w1esv413rm","SJ347","MATCHED","UNKNOWN"
"4518195167","cmraajd980191y4w15h86iqw0","SJ348","MATCHED","UNKNOWN"
"4525990305","cmraaepkz004yy4fxn0n18gqy","SJ350","MATCHED","UNKNOWN"
"4533307056","cmraaenxt0014y4fxzwoein16","SJ352","MATCHED","UNKNOWN"
"4307024708","UNKNOWN","EH01","UNMATCHED_TRANSACTION_LISTING_ID","UNKNOWN"
